fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220606 181537	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	256	TRUE	999983	0.025477781765745	0.250008138045669	2583	335	0.0234121490396016	12532000	7
20220606 185430	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	91	TRUE	999983	0.0960725334291832	0.20127782436287	2152	77	0.0190706460983923	12530000	49
20220606 193213	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	741	TRUE	999983	0.0108583942849943	0.331438133456955	4819	971	0.0101335842876222	12484000	96
20220606 185927	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	22	TRUE	999983	0.273649545677299	0.871933757356974	5148	754	0.0190247051804091	12439000	56
20220606 190804	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	83	TRUE	999983	0.199776254455762	0.200520572504079	5887	16	0.0231182061663876	12437000	64
20220606 203905	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	19	TRUE	999983	0.0286370459161147	0.99973413646434	659	16	0.00864086803569251	12339000	108
20220606 204305	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	327	TRUE	999983	0.0159271395346713	0.998906690362843	3605	817	0.00985451257834734	12318000	111
20220606 185439	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	58	TRUE	999983	0.185836312103016	0.920851030933973	7997	332	0.0213394132940969	12313000	50
20220606 193807	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	16	TRUE	999983	0.293225576184183	0.554476726077044	7990	1013	0.0236212919648436	12313000	105
20220606 181942	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	22	TRUE	999983	0.263780971162254	0.908106836648658	7973	107	0.0262516556351329	12203000	18
20220606 181736	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	37	TRUE	999983	0.0451298989618663	0.864717809353024	241	481	0.0155302374759534	12200000	13
20220606 181750	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	65	TRUE	999983	0.114019833167433	0.610436954330653	6177	434	0.0112126915186915	12181000	14
20220606 205726	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	506	TRUE	999983	0.0124799383615746	0.998497717271175	3542	265	0.0246174455469954	12156000	125
20220606 205734	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	13	TRUE	999983	0.299018837570697	0.666334512962162	7921	1023	0.0237932928747305	12137000	126
20220606 192216	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	92	TRUE	999983	0.151703073690639	0.200144100233442	6050	995	0.0257033054281734	12124000	87
20220606 192255	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	40	TRUE	999983	0.299813469632023	0.216827435259417	3697	994	0.0230929114348295	11932000	90
20220606 192048	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	12	TRUE	999983	0.256174464424913	0.995684810130144	4704	17	0.0159465252266798	11899000	83
20220606 203845	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	207	TRUE	999983	0.171929646849753	0.2737690954935	4890	1024	0.00833370623537349	11789000	107
20220606 192234	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	73	TRUE	999983	0.0745853691348181	0.200700119933126	2833	1021	0.00848150866703728	11759000	88
20220606 193757	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	19	TRUE	999983	0.249230799713096	0.999167990040471	3725	21	0.0243235558280315	11677000	104
20220606 181406	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	25	TRUE	999983	0.241198072879226	0.644897477356717	5186	384	0.0272057559952373	11630000	4
20220606 181345	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	30	TRUE	999983	0.13443714540964	0.439241552650929	3227	169	0.0294978840873227	11327000	2
20220606 181935	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	65	TRUE	999983	0.256160258297692	0.482044891798869	2154	26	0.00833786686125677	11305000	17
20220606 205939	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	471	TRUE	999983	0.0108338527913085	0.7366094913631	8000	951	0.029649214744962	11282000	130
20220606 192041	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	40	TRUE	999983	0.29988910549031	0.200225211345849	7956	646	0.00852197875802868	10983000	82
20220606 181639	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	33	TRUE	999983	0.206803686204366	0.358612613491714	2936	288	0.0324506489123451	10549000	12
20220606 181451	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	52	TRUE	999983	0.083821402276284	0.363861824413762	1695	644	0.03719357787971	9675000	6
20220606 181759	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	17	TRUE	999983	0.27304771790118	0.303649652982131	4108	995	0.0393940048699733	9606000	15
20220606 181921	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	462	TRUE	999983	0.0121614749438595	0.550551710370928	7436	235	0.0413921639522111	9086000	16
20220606 181430	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	32	TRUE	999983	0.0659431583491387	0.728873498579487	404	153	0.03483299924798	8797000	5
20220606 181611	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	46	TRUE	999983	0.102102114292909	0.821175916176289	5870	701	0.0436884475221935	8602000	10
20220606 181955	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	31	TRUE	999983	0.170328420135775	0.921571642216295	1415	554	0.0447791953362563	8481000	19
20220606 181627	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	70	TRUE	999983	0.289131902045803	0.792491192212328	7068	592	0.0497564486931272	8018000	11
20220606 181551	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	17	TRUE	999983	0.220076859897235	0.44465783235617	803	744	0.0475736915172699	7214000	8
20220606 204424	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	19	TRUE	999983	0.298995664753319	0.991125673799553	3697	38	0.0499437618641602	6803000	114
20220606 191920	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	10	TRUE	999983	0.156318170793693	0.892987913058594	55	792	0.0200809902125056	4861000	76
20220606 192454	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	30	TRUE	999983	0.0130094645251676	0.20260926233122	0	1023	0.0130332697310232	886000	91
