fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220608 020239	0	0	0	1	hist	lossguide	256	0	1	0.0102332386311107	0.428585109941115	4	1024	0.0129149091734944	164	12938000	65
20220608 043436	0	0	0	1	hist	lossguide	256	0	1	0.0100756386385443	0.973875145577616	7	916	0.0102319571259122	100	12920000	118
20220608 015833	0	0	0	1	hist	lossguide	256	0	1	0.0101827159116281	0.425172287135296	9	2	0.0227774562341231	2615	12881000	63
20220608 035216	0	0	0	1	hist	lossguide	256	0	1	0.196898015358406	0.211273631595797	6	2	0.0194109031208815	150	12860000	101
20220608 030550	0	0	0	1	hist	lossguide	256	0	1	0.120877970167695	0.999907585590924	3	2	0.0134360584332173	269	12853000	87
20220608 014420	0	0	0	1	hist	lossguide	256	0	1	0.0100543779811718	0.456141788169155	3	800	0.00834051992401674	58	12829000	58
20220608 030506	0	0	0	1	hist	lossguide	256	0	1	0.171019143832388	0.999302526179524	4	2	0.0133176841194187	198	12828000	86
20220608 012338	0	0	0	1	hist	lossguide	256	0	1	0.0100050610420128	0.342463558445034	3	3	0.0113764499357846	2365	12824000	53
20220608 043833	0	0	0	1	hist	lossguide	256	0	1	0.010926405608066	0.998283883220369	6	2	0.0143014325991979	1681	12801000	119
20220607 235054	0	0	0	1	hist	lossguide	256	0	1	0.048592949310294	0.998412193629132	10	1024	0.0099094300310347	26	12780000	23
20220608 030319	0	0	0	1	hist	lossguide	256	0	1	0.0100046064395378	0.565263335940087	10	273	0.0203368382370794	423	12779000	83
20220608 031439	0	0	0	1	hist	lossguide	256	0	1	0.0276012199145344	0.207200244321091	4	2	0.0227407622904623	744	12777000	93
20220608 041436	0	0	0	1	hist	lossguide	256	0	1	0.0151659491528159	0.529698019790271	6	2	0.013217714813895	2476	12777000	109
20220608 042107	0	0	0	1	hist	lossguide	256	0	1	0.0366803361617242	0.467260585142702	4	160	0.0132338261551373	46	12758000	114
20220608 000144	0	0	0	1	hist	lossguide	256	0	1	0.0108664638059805	0.998114734047624	4	1024	0.010059169498895	91	12751000	28
20220608 002257	0	0	0	1	hist	lossguide	256	0	1	0.0100021166232488	0.822341878380958	10	2	0.0131299487118799	3096	12745000	33
20220608 040638	0	0	0	1	hist	lossguide	256	0	1	0.299639065620638	0.485759522829814	7	2	0.0212876353831284	116	12700000	107
20220608 040532	0	0	0	1	hist	lossguide	256	0	1	0.0100200585912253	0.875552592508983	5	1019	0.0125389228037901	90	12696000	105
20220608 025635	0	0	0	1	hist	lossguide	256	0	1	0.0103473985598541	0.210280792960765	2	1024	0.00837851065719667	49	12685000	81
20220608 024207	0	0	0	1	hist	lossguide	256	0	1	0.0102115381250053	0.200492687359065	10	2	0.0264819598782781	2707	12674000	77
20220608 012750	0	0	0	1	hist	lossguide	256	0	1	0.0103097151291268	0.425245359437172	10	1024	0.0215963562068816	477	12569000	54
20220607 234716	0	0	0	1	hist	lossguide	256	0	1	0.010791868732033	0.766567080821126	8	724	0.00833463975272081	31	12546000	21
20220608 030619	0	0	0	1	hist	lossguide	256	0	1	0.144227278125921	0.997176183883472	4	3	0.0194875366091655	114	12524000	88
20220608 005151	0	0	0	1	hist	lossguide	256	0	1	0.163382948822995	0.995568057139446	9	1024	0.0160764396625628	25	12492000	43
20220608 025245	0	0	0	1	hist	lossguide	256	0	1	0.0100117167038498	0.994089268411094	3	362	0.00904771769716873	113	12492000	80
20220607 233828	0	0	0	1	hist	lossguide	256	0	1	0.0337602547609713	0.81269028166309	9	769	0.0207901843071644	67	12483000	10
20220608 010249	0	0	0	1	hist	lossguide	256	0	1	0.010029416341416	0.93500298506352	4	541	0.0133883266982365	137	12462000	47
20220608 003017	0	0	0	1	hist	lossguide	256	0	1	0.012871780165667	0.201050242681119	5	2	0.0119822763280549	957	12386000	35
20220607 235606	0	0	0	1	hist	lossguide	256	0	1	0.013135546688282	0.999671009159449	4	142	0.00833379519318694	38	12383000	25
20220607 235318	0	0	0	1	hist	lossguide	256	0	1	0.0103121237365107	0.200626572625035	10	256	0.00833840214657917	46	12347000	24
20220608 012833	0	0	0	1	hist	lossguide	256	0	1	0.0947589425805218	0.770511953771487	10	1024	0.0165171944696432	20	12294000	55
20220608 004212	0	0	0	1	hist	lossguide	256	0	1	0.0102377400944289	0.736727961489257	7	2	0.0111562599554458	1953	12246000	38
20220608 021418	0	0	0	1	hist	lossguide	256	0	1	0.142060869654119	0.999598305302788	9	331	0.0170971943566607	12	12141000	70
20220608 011411	0	0	0	1	hist	lossguide	256	0	1	0.226421261382579	0.211669779018259	9	1024	0.0148208162034977	15	12007000	51
20220607 234241	0	0	0	1	hist	lossguide	256	0	1	0.202936070397496	0.355518123339862	9	141	0.0141948031353725	20	11997000	17
20220608 025924	0	0	0	1	hist	lossguide	256	0	1	0.0100172498598572	0.999703464452878	10	828	0.00835764613488368	110	11985000	82
20220608 023625	0	0	0	1	hist	lossguide	256	0	1	0.0853264785691651	0.200418070499165	3	1024	0.00985696205940331	10	11885000	76
20220608 015900	0	0	0	1	hist	lossguide	256	0	1	0.179765129860864	0.280901784108591	10	593	0.0194037557469267	16	11821000	64
20220608 021056	0	0	0	1	hist	lossguide	256	0	1	0.17735690468044	0.582287305420728	8	1024	0.0131833092791352	19	11696000	68
20220607 234402	0	0	0	1	hist	lossguide	256	0	1	0.0704307943971362	0.992825306197628	2	697	0.0091573807891109	14	11690000	19
20220607 233251	0	0	0	1	hist	lossguide	256	0	1	0.141961363023845	0.290000485768542	3	417	0.0112741206190549	7	11615000	5
20220608 044212	0	0	0	1	hist	lossguide	256	0	1	0.0103797799231256	0.200311086103528	9	845	0.0266750029855763	324	11535000	120
20220607 234213	0	0	0	1	hist	lossguide	256	0	1	0.133867390062893	0.271172941625118	6	939	0.0172910106460525	22	11503000	16
20220608 005858	0	0	0	1	hist	lossguide	256	0	1	0.150831569648211	0.999999172733927	4	966	0.00837202514717939	8	11496000	46
20220607 235814	0	0	0	1	hist	lossguide	256	0	1	0.141582825970838	0.319075685884233	10	892	0.00833359280752518	47	11356000	27
20220608 030432	0	0	0	1	hist	lossguide	256	0	1	0.299860011089955	0.200543174946061	10	69	0.0132149623248632	14	11283000	85
20220607 232959	0	0	0	1	hist	lossguide	256	0	1	0.123559909084113	0.202021572971717	8	498	0.024127757991179	20	11211000	1
20220608 022227	0	0	0	1	hist	lossguide	256	0	1	0.0110890952252892	0.538762369061551	3	1021	0.0189298302171198	184	11066000	72
20220608 020600	0	0	0	1	hist	lossguide	256	0	1	0.0100334778378904	0.999242423955254	10	697	0.0292137048079403	233	10894000	66
20220608 014445	0	0	0	1	hist	lossguide	256	0	1	0.227526629599926	0.993359401812351	10	672	0.00839117465395692	5	10652000	59
20220608 004529	0	0	0	1	hist	lossguide	256	0	1	0.0484864034047839	0.227425608824821	7	2	0.0085784547119628	187	10635000	40
20220607 233852	0	0	0	1	hist	lossguide	256	0	1	0.276058867600514	0.954761363593861	8	548	0.0208739215571162	7	10578000	11
20220608 014035	0	0	0	1	hist	lossguide	256	0	1	0.0100853884936497	0.994331608642179	0	151	0.00836898847881289	145	10528000	57
20220608 034130	0	0	0	1	hist	lossguide	256	0	1	0.0102751685493676	0.891635525354674	2	2	0.00833978240977441	874	10217000	98
20220607 233430	0	0	0	1	hist	lossguide	256	0	1	0.257375090636779	0.748825879739597	10	176	0.0274635055228525	10	9918000	8
20220607 233106	0	0	0	1	hist	lossguide	256	0	1	0.19273394852411	0.476321085933596	6	617	0.0265086958796019	9	9694000	3
20220608 014906	0	0	0	1	hist	lossguide	256	0	1	0.298707967624087	0.219114630846483	4	1024	0.00840637614875845	12	9203000	61
20220607 234033	0	0	0	1	hist	lossguide	256	0	1	0.0396761581461178	0.496147813787684	3	264	0.0311205711002306	48	8612000	13
20220607 233405	0	0	0	1	hist	lossguide	256	0	1	0.239816646222724	0.390866806488484	7	378	0.0337865908717504	14	8466000	7
20220607 234104	0	0	0	1	hist	lossguide	256	0	1	0.21566524437652	0.663103252816945	1	232	0.0154480797073726	1	8076000	14
20220607 234440	0	0	0	1	hist	lossguide	256	0	1	0.101233347787289	0.636313998131081	9	589	0.0432269039515328	36	7966000	20
20220607 234139	0	0	0	1	hist	lossguide	256	0	1	0.158030501975445	0.840995575739071	3	875	0.0371175458407379	10	7596000	15
20220607 233338	0	0	0	1	hist	lossguide	256	0	1	0.0873991944845766	0.768895106753335	5	72	0.0411039250873728	32	7232000	6
20220607 233718	0	0	0	1	hist	lossguide	256	0	1	0.0143789971830556	0.539393610842526	5	977	0.0464844235835092	162	7114000	9
20220607 233032	0	0	0	1	hist	lossguide	256	0	1	0.173509915315895	0.597121700709686	4	835	0.0392051467705945	11	7085000	2
20220607 233216	0	0	0	1	hist	lossguide	256	0	1	0.0653456250210293	0.718276699725539	1	756	0.0325273332001719	19	5032000	4
20220607 233910	0	0	0	1	hist	lossguide	256	0	1	0.247380634051049	0.90199178321287	1	15	0.0485919322386811	5	4815000	12
20220607 234304	0	0	0	1	hist	lossguide	256	0	1	0.296009757454856	0.415788414981216	0	327	0.0454249878617702	1	645000	18
20220608 033850	0	0	0	1	hist	lossguide	256	0	1	0.0100390201348753	0.34683075916701	0	1024	0.00833780655263689	182	440000	97
