Feature	Gain	Cover	Frequency
mtransferencias_emitidas	0.00238889186275597	0.00751832342621245	0.00605332187003781
mpayroll_lag1	0.00237958267788016	0.00588362119607326	0.00465842596085519
cmobile_app_trx	0.0023378338552902	0.00288119034464617	0.00484265749603025
Visa_cconsumos	0.002319694748143	0.00256188535007773	0.00482511163553739
mcuenta_debitos_automaticos	0.00229292284538114	0.00664157326128684	0.00342144279610833
Visa_mlimitecompra_lag1	0.00229073269984513	0.00334663882153586	0.00417591479730145
Visa_msaldopesos_lag1	0.00224534214760498	0.00281462517929342	0.00345653451709405
Visa_mlimitecompra	0.00223738626184285	0.0024205893885506	0.00376358707571916
mcomisiones_mantenimiento_lag1	0.00223512342228578	0.00572164553833755	0.0040794125645907
Visa_msaldototal_lag1	0.00223042193815298	0.00196572684979222	0.00345653451709405
tcallcenter	0.00217327987410634	0.00087569098792439	0.00107029749006466
mtransferencias_recibidas_delta1	0.00212649522918106	0.00374719948944964	0.004939159728741
mcomisiones_otras_lag1	0.00212396354964259	0.00139709636207049	0.00394781861089423
ccomisiones_otras_lag1	0.00209134620430442	0.00363365883037093	0.00400045619237281
Visa_mconsumosdolares_lag1	0.00208240865869064	0.00311671507532083	0.00464088010036232
Master_mlimitecompra	0.00198650291262898	0.00223870399635594	0.0035530367498048
ctarjeta_visa	0.00197579667392598	0.000498737543696804	0.000745699070946687
ctarjeta_debito_trx	0.00197554022729229	0.00190950222316123	0.0026932895856545
mtransferencias_emitidas_delta1	0.00197518533315995	0.00343541785145084	0.00378990586645846
Visa_msaldopesos_delta1	0.00197042262073775	0.00301917625334967	0.00386886223867634
mtarjeta_visa_debitos_automaticos	0.00195317949416765	0.00244324118132741	0.0039127268899085
mtransferencias_emitidas_lag1	0.00194442673531873	0.00335595356310104	0.00456192372814444
Visa_Finiciomora_lag1	0.00187998085247835	0.00459573662601129	0.000921157675875319
cmobile_app_trx_lag1	0.00187817450174155	0.00288836133283288	0.00421100651828717
mcomisiones_delta1	0.00186866940786982	0.00312932582715431	0.00398291033187995
mtarjeta_visa_debitos_automaticos_delta1	0.00185121507292152	0.00463239820815591	0.00314070902822252
mcomisiones_lag1	0.00184673511569035	0.00120707258007684	0.00361444726152982
mpayroll_delta1	0.0018421104376837	0.00785721371849702	0.00447419442568012
Master_mlimitecompra_lag1	0.00181499305579089	0.0024410720285729	0.00312316316772965
cproductos_lag1	0.0018101699248262	0.00312046881150468	0.00384254344793705
ctransferencias_recibidas_lag1	0.00178973529747897	0.00238492605559882	0.00363199312202269
ccallcenter_trx_delta1	0.00177491856132784	0.00270208200205481	0.0011931185135147
ccaja_ahorro_delta1	0.00176118975911339	0.00533351882418358	0.000535148745032328
mpagomiscuentas	0.00173144527162421	0.00423559894995348	0.00292138577206173
Visa_msaldototal_delta1	0.00171049935768739	0.00238956669809145	0.00376358707571916
ctarjeta_visa_trx_lag1	0.00163155480760471	0.00602702369437048	0.00408818549483713
Visa_mconsumosdolares	0.00158860111178244	0.00216690088112973	0.00356180968005123
mcomisiones_otras_delta1	0.00157887053538652	0.00164845848615831	0.00322843833068683
ctransferencias_recibidas	0.00155396325867778	0.00277908232072343	0.00296525042329388
internet	0.00154151538354327	0.00376862735458975	0.00209673032889715
ccallcenter_trx	0.00152694946585411	0.00625911152881187	0.00244764753875442
mautoservicio	0.00149974978825943	0.00430631019895131	0.00372849535473343
Visa_cconsumos_delta1	0.00141398167472899	0.00305475962814487	0.00289506698132243
ccaja_seguridad_lag1	0.00141050841246001	0.000679798875772926	0.000359690140103696
Visa_mconsumosdolares_delta1	0.00140217603049827	0.00214844911689633	0.00287752112082957
mtarjeta_master_consumo	0.00139749061528217	0.00171394321883866	0.00142121469992192
ctarjeta_visa_debitos_automaticos_lag1	0.00138296905782306	0.00315592350124365	0.0023599182362901
mtarjeta_visa_consumo_delta1	0.00134934475926876	0.00337375384484944	0.00310561730723679
mpagomiscuentas_lag1	0.00134078090500474	0.00425053247856209	0.00284242939984384
mautoservicio_lag1	0.00132937677971372	0.00296492287919889	0.00347408037758692
Master_fultimo_cierre_delta1	0.00129949807916829	0.00165291741951968	0.00250028512023301
cmobile_app_trx_delta1	0.00128294451615406	0.00220019271040675	0.00266697079491521
ctarjeta_debito	0.00125506538347388	0.00184225495794874	0.0025266039109723
mcuenta_debitos_automaticos_lag1	0.00124346662465776	0.00218651978889631	0.0026932895856545
Master_mpagominimo_lag1	0.0012127183531979	0.00189280777346126	0.00209673032889715
Master_msaldopesos	0.00121178342278787	0.00356375721525993	0.00199145516593998
Master_mpagospesos_lag1	0.00118923643742557	0.00331959209261705	0.00268451665540807
ccomisiones_otras_delta1	0.00114455167174063	0.00164819543763551	0.00224587014308649
Visa_fultimo_cierre_delta1	0.00113007761536071	0.00213498169245243	0.00216691377086861
Master_status_lag1	0.00112973204355905	0.00192835700105908	0.00032459841911797
Master_mpagominimo	0.00111965574167841	0.00358531453280901	0.00222832428259363
mautoservicio_delta1	0.00109133195304477	0.00516803544355576	0.00282488353935098
Master_mpagospesos	0.00109009882586167	0.00382231165994092	0.00323721126093326
mcomisiones_mantenimiento_delta1	0.00108683548771956	0.00788777146992476	0.00170194846780773
ctarjeta_debito_lag1	0.00108008936980776	0.00171348863906939	0.00213182204988288
ccaja_seguridad	0.00105033503463	0.00305319069871163	0.000657969768482371
ctransferencias_emitidas	0.00104081742808123	0.00486417810393862	0.00260556028319019
ctransferencias_emitidas_lag1	0.00103011334047908	0.00425091699902526	0.00223709721284006
cplazo_fijo	0.00100731947865602	0.00244768699295675	0.000412327721582286
Master_msaldototal	0.000999923449014107	0.0023666255365925	0.00263187907392948
ctarjeta_debito_trx_lag1	0.000997225640046835	0.0037904281531665	0.00256169563195803
mdescubierto_preacordado_lag1	0.000984125759765993	0.000922951092785429	0.00105275162957179
ctarjeta_visa_trx_delta1	0.000950267976908483	0.00218531865163629	0.00199145516593998
Master_mpagospesos_delta1	0.000897579503720536	0.00498943340030903	0.00193881758446139
Visa_mpagado	0.000821328478889104	0.00283245346941721	0.00185108828199707
ctarjeta_debito_trx_delta1	0.000798697375474791	0.00264460597655865	0.00193881758446139
ctransferencias_emitidas_delta1	0.000779923634244876	0.00264103471685881	0.00156158158386483
mextraccion_autoservicio_lag1	0.000768506151436989	0.00121358134284005	0.00221077842210077
internet_lag1	0.000767061703387625	0.00300803881879673	0.0018598612122435
ctransferencias_recibidas_delta1	0.000759166502910416	0.00169683930971115	0.00175458604928632
Master_mconsumospesos	0.000758610693185432	0.0013218631800505	0.00200900102643284
Master_mconsumospesos_lag1	0.000741810861734259	0.00191513681767131	0.00197390930544711
mextraccion_autoservicio_delta1	0.000709540699299494	0.00273506228611521	0.00176335897953275
ccuenta_debitos_automaticos_lag1	0.000703320015745847	0.00304362111929808	0.00138612297893619
ccajas_consultas_delta1	0.000700420302697816	0.00359384672803945	0.00071060734996096
mextraccion_autoservicio	0.00068609792203876	0.00167530056209862	0.00174581311903989
Master_msaldototal_lag1	0.000671025312651203	0.00120592454362714	0.00164931088632914
Master_msaldopesos_lag1	0.000668145996509223	0.00128140987776088	0.00126330195548615
mcuenta_debitos_automaticos_delta1	0.000656725950826892	0.00343239363752669	0.00163176502583628
mprestamos_prendarios	0.000656395155245477	0.00619223305333118	0.000649196838235939
matm_lag1	0.000647964208652712	0.0021973316356773	0.00207918446840429
mtarjeta_master_consumo_lag1	0.000625052602878419	0.00194385161799869	0.000798336652425277
ctarjeta_visa_debitos_automaticos	0.000614301734192489	0.000969755697053897	0.00131593953696474
Master_msaldototal_delta1	0.000611591401734053	0.00274984502990838	0.00129839367647188
Master_mfinanciacion_limite_delta1	0.000600061336363135	0.00498886279680392	0.00098256818760034
ccajas_trx_delta1	0.00059639843433801	0.0016706979803024	0.00059655925675735
ccomisiones_mantenimiento_lag1	0.000588190615492191	0.00141630097608719	0.00105275162957179
mpagomiscuentas_delta1	0.000584592061761908	0.0014116399220114	0.00151771693263267
ccaja_ahorro_lag1	0.000569345598282354	0.00119168815499217	0.00107907042031109
cpagomiscuentas_lag1	0.000564494246679931	0.000937048744043148	0.00128084781597902
thomebanking_lag1	0.000560248223061026	0.000519700930217164	0.000921157675875319
ctarjeta_visa_debitos_automaticos_delta1	0.000548451872461426	0.00207181137240222	0.00086852009439673
ccuenta_debitos_automaticos	0.000530691015581604	0.00214269696394491	0.00113170800178968
cpayroll_trx_lag1	0.000521695560061135	0.000658630913009339	0.000535148745032328
Master_mpagominimo_delta1	0.000517113830528958	0.00186010227842074	0.00107907042031109
mplazo_fijo_dolares_delta1	0.000509200970757116	0.00405513484852291	0.00059655925675735
cextraccion_autoservicio_lag1	0.000499945071864711	0.00270500231641657	0.00122821023450043
Visa_mpagado_delta1	0.000499152020438589	0.00170405135126999	0.000903611815382456
Master_cconsumos_lag1	0.000498700005353537	0.00110780015477224	0.00111416214129681
Master_msaldopesos_delta1	0.000491085125737476	0.00202351979197424	0.00100888697833964
cpagomiscuentas	0.000482416073192892	0.00202816764758273	0.0013598041881969
tcuentas_lag1	0.000474427617835588	0.00425210064064258	0.000561467535771623
cextraccion_autoservicio	0.000467552950045756	0.00146545145444856	0.00101765990858607
cprestamos_personales_lag1	0.000467321896891857	0.0026760490228544	0.000807109582671708
Visa_mpagosdolares	0.00045636832866137	0.000995027615796567	0.00101765990858607
Master_mconsumospesos_delta1	0.00045015776423934	0.00188618475187354	0.0011667997227754
mplazo_fijo_dolares	0.000442374873626222	0.00272217843343789	0.000464965303060875
matm	0.00042779127315757	0.000949292010644524	0.00105275162957179
Master_cconsumos	0.000425245039075515	0.00155985894005162	0.0010001140480932
matm_delta1	0.000418579935442533	0.00135006055441836	0.00111416214129681
mttarjeta_master_debitos_automaticos	0.000415957931653044	0.00400000799673648	0.000850974233903866
ccallcenter_trx_lag1	0.000410664159279706	0.00300797535872428	0.000859747164150298
tpaquete7	0.000385102909392824	0.00173513366503783	0.000280733767885812
tcallcenter_lag1	0.000371984443760097	0.00125097582359648	0.000552694605525192
mcaja_ahorro_adicional_lag1	0.000366923590674063	0.00497035071864435	0.000850974233903866
Visa_mpagosdolares_lag1	0.000361019483822786	0.000810701504709075	0.000929930606121751
Visa_mlimitecompra_delta1	0.000342735303975424	0.000366692863662402	0.000561467535771623
Visa_msaldodolares_lag1	0.000342400857824398	0.000995203493046933	0.00107907042031109
thomebanking_delta1	0.000337061879426386	0.00097674674102066	0.000622878047496644
cprestamos_personales_delta1	0.000336723289438256	0.00199777111696782	0.000307052558625106
Visa_status_lag1	0.000331864821859689	0.0007251481188152	0.000175458604928632
Visa_mpagado_lag1	0.000331659919434237	0.00159932550343965	0.000789563722178845
tmobile_app	0.000331188924780873	0.000207753006877373	0.000701834419714529
catm_trx_lag1	0.000329080521476312	0.00248322563108661	0.000903611815382456
mtarjeta_master_consumo_delta1	0.00032070732300372	0.00177104776886841	0.000736926140700255
Master_mlimitecompra_delta1	0.000313492870347441	0.000988064043058265	0.000614105117250213
mttarjeta_master_debitos_automaticos_lag1	0.000310500578396785	0.00119901138596453	0.000649196838235939
Visa_msaldodolares_delta1	0.00030849429232166	0.00189996939994442	0.000772017861685982
Visa_Fvencimiento_delta1	0.00030796240566759	0.000300179724826117	0.000587786326510918
Visa_mconsumototal_lag1	0.000303299857368519	0.000254003428989584	0.000579013396264486
Master_cconsumos_delta1	0.000302416867633841	0.000927969733242854	0.000614105117250213
Visa_msaldodolares	0.000300717769972555	0.00102558291169551	0.000657969768482371
ccajas_otras_delta1	0.000294490354145739	0.000906348265003848	0.000140366883942906
catm_trx	0.000286988791001405	0.00148141055000793	0.000693061489468097
Master_Fvencimiento_delta1	0.000286005566659684	0.000213816014427939	0.000570240466018055
ccajas_otras	0.000283501954798058	0.00118405944088992	0.000193004465421495
ctarjeta_master_trx	0.000282575124564655	0.00259397926497628	0.000833428373411003
ctarjeta_master	0.000277709602837508	0.000216185139309174	0.000193004465421495
cseguro_accidentes_personales	0.000274696455213283	0.000481235531962437	0.000561467535771623
cextraccion_autoservicio_delta1	0.000272703683265762	0.000514231776960045	0.000605332187003781
matm_other_lag1	0.000269841314206392	0.00116880231962652	0.000649196838235939
mforex_sell	0.000262138167619344	0.000932926064656957	0.000605332187003781
cseguro_accidentes_personales_lag1	0.000258145195724972	0.000438459990044625	0.000438646512321581
ctarjeta_master_trx_lag1	0.000256883201447807	0.00060972552711641	0.00049128409380017
Visa_fechaalta_delta1	0.000253672573925411	0.00046298136106224	0.000535148745032328
Visa_mconsumototal	0.000251793425863241	0.000282343991380651	0.000605332187003781
Visa_mfinanciacion_limite_delta1	0.000250063453965032	0.000745161676101255	0.00054392167527876
Master_Finiciomora	0.00024955539579571	0.00115987808387596	0.000210550325914359
tmobile_app_lag1	0.000248069884335558	0.000134449793759626	0.000570240466018055
ccajas_trx_lag1	0.000245927565553629	0.00144134253553423	0.00130716660671831
Master_fechaalta_delta1	0.000242842545682012	0.000145250820866838	0.000570240466018055
Visa_delinquency	0.000237160890191854	0.000258292010040387	0.000140366883942906
cpagomiscuentas_delta1	0.000235984428268983	0.00129293413483524	0.000666742698728802
ccajas_extracciones	0.000235823149491166	0.00235370024686667	0.000614105117250213
mplazo_fijo_dolares_lag1	0.000234206624114993	0.00192874129131642	0.000552694605525192
minversion1_pesos	0.00022945610916954	0.0024231257963314	0.000210550325914359
matm_other	0.000226134833625927	0.00119144620867	0.000552694605525192
mcaja_ahorro_adicional	0.000225098284858354	0.00167216914899525	0.000350917209857264
mforex_sell_lag1	0.000214024221428906	0.00059930372573839	0.000561467535771623
Visa_mconsumototal_delta1	0.000211071686899568	0.000192646440223577	0.000394781861089423
mprestamos_hipotecarios	0.000205760495804292	0.00127868431752713	9.65022327107477e-05
mttarjeta_master_debitos_automaticos_delta1	0.000200557517335345	0.00258015448435656	0.000526375814785897
ccuenta_debitos_automaticos_delta1	0.000197039930078931	0.00172072707756285	0.000342144279610833
minversion2	0.000191200011501453	0.00365566443539673	0.000359690140103696
matm_other_delta1	0.000177182103707293	0.000904525341810267	0.000517602884539465
tpaquete9	0.000169257238646121	0.000587544044840245	0.000193004465421495
active_quarter_lag1	0.000168975600992358	0.000123405746036398	0.000289506698132243
cseguro_vida_lag1	0.000168359235671129	0.00155986108863932	0.000377236000596559
mforex_sell_delta1	0.000164575212141196	0.00105767767068208	0.000394781861089423
ctarjeta_debito_delta1	0.000148295479177142	0.00275545591321848	0.000307052558625106
catm_trx_delta1	0.000143615166458955	0.000821748698578579	0.000386008930842991
mcheques_emitidos_delta1	0.000138894702548445	0.00236331533029832	0.000298279628378675
cforex_buy_delta1	0.000138503628780315	0.00157870719545109	0.000140366883942906
Visa_mpagosdolares_delta1	0.000137243481276749	0.00121922161576049	0.000675515628975234
minversion2_lag1	0.000135729537425763	0.00275906922384903	0.000280733767885812
ccheques_depositados_delta1	0.000133241151076636	0.00270879725944312	0.000254414977146517
tcallcenter_delta1	0.000131339515464065	0.000264207455657073	0.000245642046900085
Master_delinquency_lag1	0.000130324128659476	0.000854090852091842	0.000193004465421495
cpayroll_trx_delta1	0.000129017446105875	0.000388773132110804	0.000333371349364401
ccajas_trx	0.000126580557587527	0.000153694617060444	0.000254414977146517
ccajas_extracciones_delta1	0.00012572341864164	0.00114467014992385	0.000333371349364401
cseguro_vivienda_lag1	0.000123709540183834	0.000331577113633227	0.000201777395667927
Master_delinquency	0.00012245006909423	7.09975483089604e-05	8.77293024643161e-05
internet_delta1	0.000120393797288381	0.000277722839647874	0.000236869116653654
ctarjeta_master_trx_delta1	0.000119987798052267	0.00189912937888868	0.000377236000596559
catm_trx_other	0.000114847004084524	0.00100572658498799	0.000236869116653654
Visa_delinquency_lag1	0.000110244417180699	7.26171230237157e-05	9.65022327107477e-05
Master_mconsumosdolares	0.000110171215317221	0.000161393390468796	0.00032459841911797
mtarjeta_visa_descuentos_delta1	0.000105805722594746	0.000912341520189413	0.000228096186407222
Master_msaldodolares_lag1	0.000104999291922365	0.000913739560165161	0.000210550325914359
ccajas_depositos_lag1	0.000104604762343145	0.000435442835765772	0.000140366883942906
tpaquete9_lag1	0.000101915906711713	0.000336354651856513	0.000166685674682201
