"LA IMPORTANCIA ESTA EN EL ORDEN QUE SALEN LAS VBLES - vendría a ser la ganancia total que ""genera"" el corte con esa variable"				
Feature	Gain	Cover	Frequency	
mcomisiones_lag1	0.00219949862225943	0.00170420007402219	0.00430808027739834	
ccomisiones_otras_lag1	0.00218480455934762	0.00457608559298822	0.00423803019158698	
Visa_mlimitecompra	0.00212255912013523	0.0022079985166884	0.00361633568001121	
Visa_msaldopesos_lag1	0.002087578124262	0.00289647060805132	0.00325732899022801	
Visa_msaldopesos_delta1	0.00207301021634923	0.00286436158818043	0.00387902350180379	
mtransferencias_emitidas_lag1	0.00204705551070381	0.00311669622942403	0.00508738748204967	
tcallcenter	0.00203920933792924	0.000634716197948704	0.000805575986830584	
Visa_Finiciomora_lag1	0.00203448641059394	0.00417603861398695	0.000849357290462681	
Master_mlimitecompra	0.00202520843087119	0.00284878156793606	0.00366887324436972	
mtransferencias_recibidas_delta1	0.00201531275502555	0.00319884214261756	0.00470211201008721	
mcomisiones_otras_lag1	0.00201277346155362	0.00129673617647891	0.0037914608945396	
cprestamos_personales	0.00198460198806781	0.00300343602901364	0.00114707015516094	
mtransferencias_emitidas_delta1	0.00196143801696456	0.00387512293478322	0.00378270463381318	
mtarjeta_visa_debitos_automaticos_delta1	0.00192774470912423	0.00492841412451252	0.00310847255787888	
mtarjeta_visa_debitos_automaticos	0.00191711351158695	0.00215063659328131	0.00381772967671885	
Visa_msaldopesos	0.00191640119923002	0.00291270744362949	0.00511365626422892	
ctarjeta_debito_trx	0.00187499490958309	0.00150883589455228	0.00272319708591643	
ccallcenter_trx_delta1	0.00179792404326778	0.0024371455677823	0.00114707015516094	
mcomisiones_otras_delta1	0.00178133855239618	0.00216625297171836	0.00373016706945466	
cmobile_app_trx_lag1	0.00177784650135368	0.00332973866349341	0.00407166123778502	
ctransferencias_recibidas_lag1	0.00175009272250792	0.00303393917778582	0.00414171132359637	
Master_mlimitecompra_lag1	0.00174811614590803	0.00213360071767443	0.00288080977899198	
ccaja_ahorro_delta1	0.00174024378166061	0.00538309410013513	0.000551644425764422	
mpagomiscuentas	0.00173913370893741	0.00328871631047364	0.00289832230044482	
cproductos_lag1	0.00170419856570509	0.00303517673122671	0.00378270463381318	
mcomisiones_delta1	0.00169950381337454	0.0026679328622159	0.00353752933347343	
mpayroll_delta1	0.00166271330535311	0.00914670416647401	0.00453574305628524	
Visa_mconsumosdolares	0.00165428711548724	0.00261827872289229	0.00351126055129418	
ccallcenter_trx	0.00165066821066741	0.00651237857192206	0.00250429056775595	
Visa_msaldototal_delta1	0.00162313726935888	0.00255317838591586	0.00375643585163392	
mautoservicio	0.00162187850229807	0.00555769095351708	0.00376519211236034	
Visa_msaldototal_lag1	0.00161154738852378	0.00127082630484339	0.0028457847360863	
ctransferencias_recibidas	0.0016017076529791	0.00267378660762077	0.00298588490770901	
Visa_cconsumos_delta1	0.0015657742319074	0.00334028536553378	0.00322230394732234	
Master_msaldopesos	0.00150866656217668	0.00276138701354447	0.00196140240271794	
ctarjeta_visa_trx_lag1	0.00149826020575399	0.00461335533750301	0.00354628559419985	
internet	0.00149260782540083	0.00355901747484441	0.00217155266015201	
cmobile_app_trx_delta1	0.0014495798834904	0.00263812861567704	0.00319603516514308	
ctarjeta_debito	0.00144110132762133	0.00162919549038074	0.00268817204301075	
